nem	kor	isk.vegz	lakhely	csaladi.allapot	ido.mobil.alk	gyak.facebook	gyak.messenger	gyak.instagramm	gyak.twitter	gyak.snapchat	gyak.viber	gyak.youtube	gyak.skype	gyak.spotify	gyak.bongeszo	MirehasználodleggyakrabbanamobiltelefonodTöbbválaszismegjelö	Hahasználodnyelvtanulásraamobiltelefonodmelyikalkalmazástalka	Azérthasználokmobilalkamazásokatmert......kapcsolatottudoktar	Azérthasználokmobilalkamazásokatmert......kapcsolatottudokt_A	Azérthasználokmobilalkamazásokatmert......megkönnyítikatanu	Azérthasználokmobilalkamazásokatmert......megkönnyítikakomm	Azérthasználokmobilalkamazásokatmert......kikapcsolamindennap	Azérthasználokmobilalkamazásokatmert......kiélhetemakreativi	Azérthasználokmobilalkamazásokatmert......képeketésgondolat	Azérthasználokmobilalkamazásokatmert......mertmásokishaszná	Azérthasználokmobilalkamazásokatmert......könnyenhasznosinfo	Mennyirejellemzőekrádazalábbiüzenetváltásiszokások.Hossz	Mennyirejellemzőekrádazalábbiüzenetváltásiszokások.Rögt	Mennyirejellemzőekrádazalábbiüzenetváltásiszokások.Azért	Mennyirejellemzőekrádazalábbiüzenetváltásiszokások.Szoron	Mennyirejellemzőekrádazalábbiüzenetváltásiszokások.Hüly	Mennyirejellemzőekrádazalábbiüzenetváltásiszokások.Hangul	Mennyirejellemzőekrádazalábbiüzenetváltásiszokások.Kezdem	Mennyirejellemzőekrádazalábbiüzenetváltásiszokások.Társa	Mennyirejellemzőekrádazalábbiüzenetváltásiszokások.Halehe	Mennyirejellemzőekrádazalábbiüzenetváltásiszokások.Jobban	Mennyirejellemzőekrádazalábbiüzenetváltásiszokások.Könny	végzettség	lak	állapot	Neme	Idő	gyface	gymes	gyinsta	gytwitter	gysnapchat	gyviber	gyyoutube	gyskype	gyspotify	gychrome	kapcsolatbarátok	kapcsolatpár	könnyíttanulás	könnyítkomm	kikapcsol	kreativitás	képgondolatmegosztás	másokis	információszerzés	üzenethosszúság	Tárgyilagos	Unalomellen	Szorongás	Bohóckodás	Hangulatjelek	Csoportbeszélgetéskezdés	Magánbeszélgetéstársaságban	Üzenetpreferencia	Megnyílásüzenetben	Üzenetvonzóembernek	Üzenetvshívás	Hasznössz	Telefonál	Közösségi	Szöveges	Infószerző	Fénykép	Játék	Navigáció	Nyelvtanulás
Férfi	43	Főiskola/Egyetem	Megyeszékhely	Házas	1-2 órát	Naponta többször	Naponta többször	Naponta egyszer	Soha	Soha	Soha	Hetente egyszer	Soha	Naponta többször	Naponta többször	Telefonálásra, Szöveges kapcsolattartásra (SMS, Messenger, Skype stb.), Közösségi média használata (Facebook, Instagram stb.), Információszerzésre (Böngésző, Google, Shazam stb.)		3 - részben egyetértek	2 - inkább nem értek egyet	5 - teljes mértékben egyetértek	5 - teljes mértékben egyetértek	2 - inkább nem értek egyet	2 - inkább nem értek egyet	3 - részben egyetértek	4 - inkább egyetértek	5 - teljes mértékben egyetértek	3 - általában jellemző	4 - gyakran jellemző	1 - egyáltalán nem jellemző	1 - egyáltalán nem jellemző	2 - néha jellemző	3 - általában jellemző	2 - néha jellemző	1 - egyáltalán nem jellemző	1 - egyáltalán nem jellemző	1 - egyáltalán nem jellemző	1 - egyáltalán nem jellemző	5	4	3	1	2	5	5	4	1	1	1	2	1	5	5	3	2	5	5	2	2	3	4	5	3	4	1	1	2	3	2	1	1	1	1	1	4	2	1	2	1	1	1	1	1
Férfi	50	Főiskola/Egyetem	Megyeszékhely	Házas	2-3 órát	Naponta többször	Naponta többször	Soha	Soha	Soha	Ritkábban	Naponta többször	Soha	Soha	Naponta többször	Telefonálásra, Szöveges kapcsolattartásra (SMS, Messenger, Skype stb.), Közösségi média használata (Facebook, Instagram stb.), Telefonos játékokra, Fényképezésre		4 - inkább egyetértek	2 - inkább nem értek egyet	3 - részben egyetértek	4 - inkább egyetértek	3 - részben egyetértek	2 - inkább nem értek egyet	3 - részben egyetértek	3 - részben egyetértek	3 - részben egyetértek	1 - egyáltalán nem jellemző	4 - gyakran jellemző	1 - egyáltalán nem jellemző	1 - egyáltalán nem jellemző	2 - néha jellemző	2 - néha jellemző	1 - egyáltalán nem jellemző	1 - egyáltalán nem jellemző	2 - néha jellemző	1 - egyáltalán nem jellemző	1 - egyáltalán nem jellemző	5	4	3	1	3	5	5	1	1	1	2	5	1	1	5	4	2	3	4	3	2	3	3	3	1	4	1	1	2	2	1	1	2	1	1	2	5	2	1	2	1	2	1	1	1
Férfi	66	Főiskola/Egyetem	Megyeszékhely	Párkapcsolatban	1-2 órát	Naponta egyszer	Soha	Ritkábban	Hetente többször	Soha	Hetente többször	Hetente többször	Hetente többször	Soha	Naponta többször	Telefonálásra, Szöveges kapcsolattartásra (SMS, Messenger, Skype stb.), Navigáció (GPS, Google Maps stb.)	Duolingo	5 - teljes mértékben egyetértek	3 - részben egyetértek	5 - teljes mértékben egyetértek	3 - részben egyetértek	1 - egyáltalán nem értek egyet	2 - inkább nem értek egyet	4 - inkább egyetértek	3 - részben egyetértek	5 - teljes mértékben egyetértek	1 - egyáltalán nem jellemző	5 - mindig jellemző	1 - egyáltalán nem jellemző	1 - egyáltalán nem jellemző	1 - egyáltalán nem jellemző	2 - néha jellemző	2 - néha jellemző	1 - egyáltalán nem jellemző	1 - egyáltalán nem jellemző	1 - egyáltalán nem jellemző	1 - egyáltalán nem jellemző	5	4	2	1	2	4	1	2	3	1	3	3	3	1	5	5	3	5	3	1	2	4	3	5	1	5	1	1	1	2	2	1	1	1	1	1	3	2	1	2	1	1	1	2	1
Férfi	23	Főiskola/Egyetem	Megyeszékhely	Egyedülálló	1-2 órát	Naponta többször	Naponta többször	Naponta többször	Soha	Soha	Soha	Ritkábban	Soha	Soha	Soha	Szöveges kapcsolattartásra (SMS, Messenger, Skype stb.), Közösségi média használata (Facebook, Instagram stb.), Információszerzésre (Böngésző, Google, Shazam stb.)		5 - teljes mértékben egyetértek	5 - teljes mértékben egyetértek	2 - inkább nem értek egyet	5 - teljes mértékben egyetértek	4 - inkább egyetértek	3 - részben egyetértek	5 - teljes mértékben egyetértek	5 - teljes mértékben egyetértek	5 - teljes mértékben egyetértek	5 - mindig jellemző	5 - mindig jellemző	2 - néha jellemző	2 - néha jellemző	1 - egyáltalán nem jellemző	5 - mindig jellemző	2 - néha jellemző	1 - egyáltalán nem jellemző	1 - egyáltalán nem jellemző	3 - általában jellemző	5 - mindig jellemző	5	4	1	1	2	5	5	5	1	1	1	2	1	1	1	5	5	2	5	4	3	5	5	5	5	5	2	2	1	5	2	1	1	3	5	1	3	1	2	2	2	1	1	1	1
Férfi	21	Gimnázium/Szakközép iskola	Megyeszékhely	Párkapcsolatban	Kevesebb, mint 1 órát	Naponta többször	Naponta többször	Hetente egyszer	Ritkábban	Soha	Soha	Naponta többször	Ritkábban	Ritkábban	Hetente többször	Telefonálásra, Szöveges kapcsolattartásra (SMS, Messenger, Skype stb.), Fényképezésre	Duolingo	4 - inkább egyetértek	4 - inkább egyetértek	3 - részben egyetértek	4 - inkább egyetértek	1 - egyáltalán nem értek egyet	2 - inkább nem értek egyet	3 - részben egyetértek	1 - egyáltalán nem értek egyet	3 - részben egyetértek	3 - általában jellemző	2 - néha jellemző	4 - gyakran jellemző	5 - mindig jellemző	3 - általában jellemző	3 - általában jellemző	2 - néha jellemző	1 - egyáltalán nem jellemző	5 - mindig jellemző	1 - egyáltalán nem jellemző	5 - mindig jellemző	4	4	2	1	1	5	5	2	2	1	1	5	2	2	3	4	4	3	4	1	2	3	1	3	3	2	4	5	3	3	2	1	5	1	5	5	3	2	1	2	1	2	1	1	1
Férfi	19	Gimnázium/Szakközép iskola	Város	Egyedülálló	1-2 órát	Naponta többször	Naponta többször	Naponta többször	Naponta többször	Naponta többször	Soha	Naponta többször	Soha	Soha	Naponta többször	Szöveges kapcsolattartásra (SMS, Messenger, Skype stb.), Közösségi média használata (Facebook, Instagram stb.)		5 - teljes mértékben egyetértek	2 - inkább nem értek egyet	3 - részben egyetértek	4 - inkább egyetértek	4 - inkább egyetértek	1 - egyáltalán nem értek egyet	1 - egyáltalán nem értek egyet	3 - részben egyetértek	5 - teljes mértékben egyetértek	1 - egyáltalán nem jellemző	3 - általában jellemző	2 - néha jellemző	3 - általában jellemző	5 - mindig jellemző	5 - mindig jellemző	4 - gyakran jellemző	1 - egyáltalán nem jellemző	3 - általában jellemző	2 - néha jellemző	1 - egyáltalán nem jellemző	4	3	1	1	2	5	5	5	5	5	1	5	1	1	5	5	2	3	4	4	1	1	3	5	1	3	2	3	5	5	4	1	3	2	1	3	2	1	2	2	1	1	1	1	1
Férfi	19	Gimnázium/Szakközép iskola	Város	Egyedülálló	1-2 órát	Naponta többször	Naponta többször	Naponta többször	Soha	Naponta egyszer	Soha	Naponta többször	Soha	Naponta többször	Naponta többször	Szöveges kapcsolattartásra (SMS, Messenger, Skype stb.), Közösségi média használata (Facebook, Instagram stb.), Telefonos játékokra	Duolingo	5 - teljes mértékben egyetértek	4 - inkább egyetértek	3 - részben egyetértek	4 - inkább egyetértek	3 - részben egyetértek	1 - egyáltalán nem értek egyet	3 - részben egyetértek	1 - egyáltalán nem értek egyet	4 - inkább egyetértek	2 - néha jellemző	4 - gyakran jellemző	1 - egyáltalán nem jellemző	2 - néha jellemző	4 - gyakran jellemző	4 - gyakran jellemző	1 - egyáltalán nem jellemző	2 - néha jellemző	3 - általában jellemző	1 - egyáltalán nem jellemző	2 - néha jellemző	4	3	1	1	2	5	5	5	1	4	1	5	1	5	5	5	4	3	4	3	1	3	1	4	2	4	1	2	4	4	1	2	3	1	2	3	3	1	2	2	1	1	2	1	1
Férfi	19	Gimnázium/Szakközép iskola	Falu	Egyedülálló	2-3 órát	Naponta többször	Naponta többször	Soha	Soha	Soha	Soha	Naponta többször	Hetente egyszer	Naponta egyszer	Naponta többször	Telefonálásra, Szöveges kapcsolattartásra (SMS, Messenger, Skype stb.), Közösségi média használata (Facebook, Instagram stb.), Információszerzésre (Böngésző, Google, Shazam stb.), Telefonos játékokra		5 - teljes mértékben egyetértek	5 - teljes mértékben egyetértek	4 - inkább egyetértek	5 - teljes mértékben egyetértek	3 - részben egyetértek	3 - részben egyetértek	3 - részben egyetértek	3 - részben egyetértek	5 - teljes mértékben egyetértek	3 - általában jellemző	2 - néha jellemző	3 - általában jellemző	2 - néha jellemző	5 - mindig jellemző	5 - mindig jellemző	1 - egyáltalán nem jellemző	3 - általában jellemző	4 - gyakran jellemző	2 - néha jellemző	3 - általában jellemző	4	2	1	1	3	5	5	1	1	1	1	5	2	4	5	5	5	4	5	3	3	3	3	5	3	2	3	2	5	5	1	3	4	2	3	4	5	2	1	2	1	1	2	1	1
Férfi	23	Gimnázium/Szakközép iskola	Megyeszékhely	Párkapcsolatban	2-3 órát	Naponta többször	Naponta többször	Naponta többször	Soha	Soha	Soha	Naponta egyszer	Soha	Naponta többször	Naponta többször	Közösségi média használata (Facebook, Instagram stb.), Információszerzésre (Böngésző, Google, Shazam stb.), Fényképezésre, Zenehallgatásra	Duolingo	5 - teljes mértékben egyetértek	5 - teljes mértékben egyetértek	5 - teljes mértékben egyetértek	5 - teljes mértékben egyetértek	1 - egyáltalán nem értek egyet	3 - részben egyetértek	2 - inkább nem értek egyet	1 - egyáltalán nem értek egyet	4 - inkább egyetértek	4 - gyakran jellemző	3 - általában jellemző	1 - egyáltalán nem jellemző	4 - gyakran jellemző	2 - néha jellemző	5 - mindig jellemző	1 - egyáltalán nem jellemző	1 - egyáltalán nem jellemző	3 - általában jellemző	4 - gyakran jellemző	4 - gyakran jellemző	4	4	2	1	3	5	5	5	1	1	1	4	1	5	5	5	5	5	5	1	3	2	1	4	4	3	1	4	2	5	1	1	3	4	4	3	4	1	2	1	2	2	1	1	1
Férfi	18	Gimnázium/Szakközép iskola	Megyeszékhely	Egyedülálló	1-2 órát	Naponta többször	Hetente többször	Naponta többször	Naponta egyszer	Soha	Soha	Hetente többször	Soha	Soha	Soha	Telefonálásra, Nyelvtanulás (Duolingo, Xeropan stb.), Telefonos játékokra, Fényképezésre	Duolingo	3 - részben egyetértek	3 - részben egyetértek	3 - részben egyetértek	4 - inkább egyetértek	3 - részben egyetértek	4 - inkább egyetértek	4 - inkább egyetértek	3 - részben egyetértek	5 - teljes mértékben egyetértek	5 - mindig jellemző	3 - általában jellemző	2 - néha jellemző	2 - néha jellemző	3 - általában jellemző	3 - általában jellemző	2 - néha jellemző	2 - néha jellemző	2 - néha jellemző	3 - általában jellemző	4 - gyakran jellemző	4	4	1	1	2	5	3	5	4	1	1	3	1	1	1	3	3	3	4	3	4	4	3	5	5	3	2	2	3	3	2	2	2	3	4	2	4	2	1	1	1	1	2	1	1
Férfi	29	Főiskola/Egyetem	Főváros	Egyedülálló	3-4 órát	Naponta többször	Naponta egyszer	Soha	Hetente többször	Soha	Hetente egyszer	Naponta többször	Soha	Soha	Naponta többször	Telefonálásra, Közösségi média használata (Facebook, Instagram stb.), Nyelvtanulás (Duolingo, Xeropan stb.)	Duolingo	1 - egyáltalán nem értek egyet	3 - részben egyetértek	1 - egyáltalán nem értek egyet	1 - egyáltalán nem értek egyet	3 - részben egyetértek	2 - inkább nem értek egyet	2 - inkább nem értek egyet	1 - egyáltalán nem értek egyet	1 - egyáltalán nem értek egyet	2 - néha jellemző	3 - általában jellemző	2 - néha jellemző	2 - néha jellemző	3 - általában jellemző	2 - néha jellemző	2 - néha jellemző	3 - általában jellemző	1 - egyáltalán nem jellemző	2 - néha jellemző	2 - néha jellemző	5	5	1	1	3	5	4	1	3	1	2	5	1	1	5	1	3	1	1	3	2	2	1	1	2	3	2	2	3	2	2	3	1	2	2	1	3	2	2	1	1	1	1	1	2
