"nem";"kor";"isk.vegz";"lakhely";"csaladi.allapot";"ido.mobil.alk";"gyak.facebook";"gyak.messenger";"gyak.instagramm";"gyak.twitter";"gyak.snapchat";"gyak.viber";"gyak.youtube";"gyak.skype";"gyak.spotify";"gyak.bongeszo";"MirehasználodleggyakrabbanamobiltelefonodTöbbválaszismegjelö";"Hahasználodnyelvtanulásraamobiltelefonodmelyikalkalmazástalka";"Azérthasználokmobilalkamazásokatmert......kapcsolatottudoktar";"Azérthasználokmobilalkamazásokatmert......kapcsolatottudokt_A";"Azérthasználokmobilalkamazásokatmert......megkönnyítikatanu";"Azérthasználokmobilalkamazásokatmert......megkönnyítikakomm";"Azérthasználokmobilalkamazásokatmert......kikapcsolamindennap";"Azérthasználokmobilalkamazásokatmert......kiélhetemakreativi";"Azérthasználokmobilalkamazásokatmert......képeketésgondolat";"Azérthasználokmobilalkamazásokatmert......mertmásokishaszná";"Azérthasználokmobilalkamazásokatmert......könnyenhasznosinfo";"Mennyirejellemzõekrádazalábbiüzenetváltásiszokások.Hossz";"Mennyirejellemzõekrádazalábbiüzenetváltásiszokások.Rögt";"Mennyirejellemzõekrádazalábbiüzenetváltásiszokások.Azért";"Mennyirejellemzõekrádazalábbiüzenetváltásiszokások.Szoron";"Mennyirejellemzõekrádazalábbiüzenetváltásiszokások.Hüly";"Mennyirejellemzõekrádazalábbiüzenetváltásiszokások.Hangul";"Mennyirejellemzõekrádazalábbiüzenetváltásiszokások.Kezdem";"Mennyirejellemzõekrádazalábbiüzenetváltásiszokások.Társa";"Mennyirejellemzõekrádazalábbiüzenetváltásiszokások.Halehe";"Mennyirejellemzõekrádazalábbiüzenetváltásiszokások.Jobban";"Mennyirejellemzõekrádazalábbiüzenetváltásiszokások.Könny";"végzettség";"lak";"állapot";"Neme";"Idõ";"gyface";"gymes";"gyinsta";"gytwitter";"gysnapchat";"gyviber";"gyyoutube";"gyskype";"gyspotify";"gychrome";"kapcsolatbarátok";"kapcsolatpár";"könnyíttanulás";"könnyítkomm";"kikapcsol";"kreativitás";"képgondolatmegosztás";"másokis";"információszerzés";"üzenethosszúság";"Tárgyilagos";"Unalomellen";"Szorongás";"Bohóckodás";"Hangulatjelek";"Csoportbeszélgetéskezdés";"Magánbeszélgetéstársaságban";"Üzenetpreferencia";"Megnyílásüzenetben";"Üzenetvonzóembernek";"Üzenetvshívás";"Hasznössz";"Telefonál";"Közösségi";"Szöveges";"Infószerzõ";"Fénykép";"Játék";"Navigáció";"Nyelvtanulás"
"Férfi";43;"Fõiskola/Egyetem";"Megyeszékhely";"Házas";"1-2 órát";"Naponta többször";"Naponta többször";"Naponta egyszer";"Soha";"Soha";"Soha";"Hetente egyszer";"Soha";"Naponta többször";"Naponta többször";"Telefonálásra, Szöveges kapcsolattartásra (SMS, Messenger, Skype stb.), Közösségi média használata (Facebook, Instagram stb.), Információszerzésre (Böngészõ, Google, Shazam stb.)";NA;"3 - részben egyetértek";"2 - inkább nem értek egyet";"5 - teljes mértékben egyetértek";"5 - teljes mértékben egyetértek";"2 - inkább nem értek egyet";"2 - inkább nem értek egyet";"3 - részben egyetértek";"4 - inkább egyetértek";"5 - teljes mértékben egyetértek";"3 - általában jellemzõ";"4 - gyakran jellemzõ";"1 - egyáltalán nem jellemzõ";"1 - egyáltalán nem jellemzõ";"2 - néha jellemzõ";"3 - általában jellemzõ";"2 - néha jellemzõ";"1 - egyáltalán nem jellemzõ";"1 - egyáltalán nem jellemzõ";"1 - egyáltalán nem jellemzõ";"1 - egyáltalán nem jellemzõ";5;4;3;1;2;5;5;4;1;1;1;2;1;5;5;3;2;5;5;2;2;3;4;5;3;4;1;1;2;3;2;1;1;1;1;1;4;2;1;2;1;1;1;1;1
"Férfi";50;"Fõiskola/Egyetem";"Megyeszékhely";"Házas";"2-3 órát";"Naponta többször";"Naponta többször";"Soha";"Soha";"Soha";"Ritkábban";"Naponta többször";"Soha";"Soha";"Naponta többször";"Telefonálásra, Szöveges kapcsolattartásra (SMS, Messenger, Skype stb.), Közösségi média használata (Facebook, Instagram stb.), Telefonos játékokra, Fényképezésre";NA;"4 - inkább egyetértek";"2 - inkább nem értek egyet";"3 - részben egyetértek";"4 - inkább egyetértek";"3 - részben egyetértek";"2 - inkább nem értek egyet";"3 - részben egyetértek";"3 - részben egyetértek";"3 - részben egyetértek";"1 - egyáltalán nem jellemzõ";"4 - gyakran jellemzõ";"1 - egyáltalán nem jellemzõ";"1 - egyáltalán nem jellemzõ";"2 - néha jellemzõ";"2 - néha jellemzõ";"1 - egyáltalán nem jellemzõ";"1 - egyáltalán nem jellemzõ";"2 - néha jellemzõ";"1 - egyáltalán nem jellemzõ";"1 - egyáltalán nem jellemzõ";5;4;3;1;3;5;5;1;1;1;2;5;1;1;5;4;2;3;4;3;2;3;3;3;1;4;1;1;2;2;1;1;2;1;1;2;5;2;1;2;1;2;1;1;1
"Férfi";66;"Fõiskola/Egyetem";"Megyeszékhely";"Párkapcsolatban";"1-2 órát";"Naponta egyszer";"Soha";"Ritkábban";"Hetente többször";"Soha";"Hetente többször";"Hetente többször";"Hetente többször";"Soha";"Naponta többször";"Telefonálásra, Szöveges kapcsolattartásra (SMS, Messenger, Skype stb.), Navigáció (GPS, Google Maps stb.)";"Duolingo";"5 - teljes mértékben egyetértek";"3 - részben egyetértek";"5 - teljes mértékben egyetértek";"3 - részben egyetértek";"1 - egyáltalán nem értek egyet";"2 - inkább nem értek egyet";"4 - inkább egyetértek";"3 - részben egyetértek";"5 - teljes mértékben egyetértek";"1 - egyáltalán nem jellemzõ";"5 - mindig jellemzõ";"1 - egyáltalán nem jellemzõ";"1 - egyáltalán nem jellemzõ";"1 - egyáltalán nem jellemzõ";"2 - néha jellemzõ";"2 - néha jellemzõ";"1 - egyáltalán nem jellemzõ";"1 - egyáltalán nem jellemzõ";"1 - egyáltalán nem jellemzõ";"1 - egyáltalán nem jellemzõ";5;4;2;1;2;4;1;2;3;1;3;3;3;1;5;5;3;5;3;1;2;4;3;5;1;5;1;1;1;2;2;1;1;1;1;1;3;2;1;2;1;1;1;2;1
"Férfi";23;"Fõiskola/Egyetem";"Megyeszékhely";"Egyedülálló";"1-2 órát";"Naponta többször";"Naponta többször";"Naponta többször";"Soha";"Soha";"Soha";"Ritkábban";"Soha";"Soha";"Soha";"Szöveges kapcsolattartásra (SMS, Messenger, Skype stb.), Közösségi média használata (Facebook, Instagram stb.), Információszerzésre (Böngészõ, Google, Shazam stb.)";NA;"5 - teljes mértékben egyetértek";"5 - teljes mértékben egyetértek";"2 - inkább nem értek egyet";"5 - teljes mértékben egyetértek";"4 - inkább egyetértek";"3 - részben egyetértek";"5 - teljes mértékben egyetértek";"5 - teljes mértékben egyetértek";"5 - teljes mértékben egyetértek";"5 - mindig jellemzõ";"5 - mindig jellemzõ";"2 - néha jellemzõ";"2 - néha jellemzõ";"1 - egyáltalán nem jellemzõ";"5 - mindig jellemzõ";"2 - néha jellemzõ";"1 - egyáltalán nem jellemzõ";"1 - egyáltalán nem jellemzõ";"3 - általában jellemzõ";"5 - mindig jellemzõ";5;4;1;1;2;5;5;5;1;1;1;2;1;1;1;5;5;2;5;4;3;5;5;5;5;5;2;2;1;5;2;1;1;3;5;1;3;1;2;2;2;1;1;1;1
"Férfi";21;"Gimnázium/Szakközép iskola";"Megyeszékhely";"Párkapcsolatban";"Kevesebb, mint 1 órát";"Naponta többször";"Naponta többször";"Hetente egyszer";"Ritkábban";"Soha";"Soha";"Naponta többször";"Ritkábban";"Ritkábban";"Hetente többször";"Telefonálásra, Szöveges kapcsolattartásra (SMS, Messenger, Skype stb.), Fényképezésre";"Duolingo";"4 - inkább egyetértek";"4 - inkább egyetértek";"3 - részben egyetértek";"4 - inkább egyetértek";"1 - egyáltalán nem értek egyet";"2 - inkább nem értek egyet";"3 - részben egyetértek";"1 - egyáltalán nem értek egyet";"3 - részben egyetértek";"3 - általában jellemzõ";"2 - néha jellemzõ";"4 - gyakran jellemzõ";"5 - mindig jellemzõ";"3 - általában jellemzõ";"3 - általában jellemzõ";"2 - néha jellemzõ";"1 - egyáltalán nem jellemzõ";"5 - mindig jellemzõ";"1 - egyáltalán nem jellemzõ";"5 - mindig jellemzõ";4;4;2;1;1;5;5;2;2;1;1;5;2;2;3;4;4;3;4;1;2;3;1;3;3;2;4;5;3;3;2;1;5;1;5;5;3;2;1;2;1;2;1;1;1
"Férfi";19;"Gimnázium/Szakközép iskola";"Város";"Egyedülálló";"1-2 órát";"Naponta többször";"Naponta többször";"Naponta többször";"Naponta többször";"Naponta többször";"Soha";"Naponta többször";"Soha";"Soha";"Naponta többször";"Szöveges kapcsolattartásra (SMS, Messenger, Skype stb.), Közösségi média használata (Facebook, Instagram stb.)";NA;"5 - teljes mértékben egyetértek";"2 - inkább nem értek egyet";"3 - részben egyetértek";"4 - inkább egyetértek";"4 - inkább egyetértek";"1 - egyáltalán nem értek egyet";"1 - egyáltalán nem értek egyet";"3 - részben egyetértek";"5 - teljes mértékben egyetértek";"1 - egyáltalán nem jellemzõ";"3 - általában jellemzõ";"2 - néha jellemzõ";"3 - általában jellemzõ";"5 - mindig jellemzõ";"5 - mindig jellemzõ";"4 - gyakran jellemzõ";"1 - egyáltalán nem jellemzõ";"3 - általában jellemzõ";"2 - néha jellemzõ";"1 - egyáltalán nem jellemzõ";4;3;1;1;2;5;5;5;5;5;1;5;1;1;5;5;2;3;4;4;1;1;3;5;1;3;2;3;5;5;4;1;3;2;1;3;2;1;2;2;1;1;1;1;1
"Férfi";19;"Gimnázium/Szakközép iskola";"Város";"Egyedülálló";"1-2 órát";"Naponta többször";"Naponta többször";"Naponta többször";"Soha";"Naponta egyszer";"Soha";"Naponta többször";"Soha";"Naponta többször";"Naponta többször";"Szöveges kapcsolattartásra (SMS, Messenger, Skype stb.), Közösségi média használata (Facebook, Instagram stb.), Telefonos játékokra";"Duolingo";"5 - teljes mértékben egyetértek";"4 - inkább egyetértek";"3 - részben egyetértek";"4 - inkább egyetértek";"3 - részben egyetértek";"1 - egyáltalán nem értek egyet";"3 - részben egyetértek";"1 - egyáltalán nem értek egyet";"4 - inkább egyetértek";"2 - néha jellemzõ";"4 - gyakran jellemzõ";"1 - egyáltalán nem jellemzõ";"2 - néha jellemzõ";"4 - gyakran jellemzõ";"4 - gyakran jellemzõ";"1 - egyáltalán nem jellemzõ";"2 - néha jellemzõ";"3 - általában jellemzõ";"1 - egyáltalán nem jellemzõ";"2 - néha jellemzõ";4;3;1;1;2;5;5;5;1;4;1;5;1;5;5;5;4;3;4;3;1;3;1;4;2;4;1;2;4;4;1;2;3;1;2;3;3;1;2;2;1;1;2;1;1
"Férfi";19;"Gimnázium/Szakközép iskola";"Falu";"Egyedülálló";"2-3 órát";"Naponta többször";"Naponta többször";"Soha";"Soha";"Soha";"Soha";"Naponta többször";"Hetente egyszer";"Naponta egyszer";"Naponta többször";"Telefonálásra, Szöveges kapcsolattartásra (SMS, Messenger, Skype stb.), Közösségi média használata (Facebook, Instagram stb.), Információszerzésre (Böngészõ, Google, Shazam stb.), Telefonos játékokra";NA;"5 - teljes mértékben egyetértek";"5 - teljes mértékben egyetértek";"4 - inkább egyetértek";"5 - teljes mértékben egyetértek";"3 - részben egyetértek";"3 - részben egyetértek";"3 - részben egyetértek";"3 - részben egyetértek";"5 - teljes mértékben egyetértek";"3 - általában jellemzõ";"2 - néha jellemzõ";"3 - általában jellemzõ";"2 - néha jellemzõ";"5 - mindig jellemzõ";"5 - mindig jellemzõ";"1 - egyáltalán nem jellemzõ";"3 - általában jellemzõ";"4 - gyakran jellemzõ";"2 - néha jellemzõ";"3 - általában jellemzõ";4;2;1;1;3;5;5;1;1;1;1;5;2;4;5;5;5;4;5;3;3;3;3;5;3;2;3;2;5;5;1;3;4;2;3;4;5;2;1;2;1;1;2;1;1
"Férfi";23;"Gimnázium/Szakközép iskola";"Megyeszékhely";"Párkapcsolatban";"2-3 órát";"Naponta többször";"Naponta többször";"Naponta többször";"Soha";"Soha";"Soha";"Naponta egyszer";"Soha";"Naponta többször";"Naponta többször";"Közösségi média használata (Facebook, Instagram stb.), Információszerzésre (Böngészõ, Google, Shazam stb.), Fényképezésre, Zenehallgatásra";"Duolingo";"5 - teljes mértékben egyetértek";"5 - teljes mértékben egyetértek";"5 - teljes mértékben egyetértek";"5 - teljes mértékben egyetértek";"1 - egyáltalán nem értek egyet";"3 - részben egyetértek";"2 - inkább nem értek egyet";"1 - egyáltalán nem értek egyet";"4 - inkább egyetértek";"4 - gyakran jellemzõ";"3 - általában jellemzõ";"1 - egyáltalán nem jellemzõ";"4 - gyakran jellemzõ";"2 - néha jellemzõ";"5 - mindig jellemzõ";"1 - egyáltalán nem jellemzõ";"1 - egyáltalán nem jellemzõ";"3 - általában jellemzõ";"4 - gyakran jellemzõ";"4 - gyakran jellemzõ";4;4;2;1;3;5;5;5;1;1;1;4;1;5;5;5;5;5;5;1;3;2;1;4;4;3;1;4;2;5;1;1;3;4;4;3;4;1;2;1;2;2;1;1;1
"Férfi";18;"Gimnázium/Szakközép iskola";"Megyeszékhely";"Egyedülálló";"1-2 órát";"Naponta többször";"Hetente többször";"Naponta többször";"Naponta egyszer";"Soha";"Soha";"Hetente többször";"Soha";"Soha";"Soha";"Telefonálásra, Nyelvtanulás (Duolingo, Xeropan stb.), Telefonos játékokra, Fényképezésre";"Duolingo";"3 - részben egyetértek";"3 - részben egyetértek";"3 - részben egyetértek";"4 - inkább egyetértek";"3 - részben egyetértek";"4 - inkább egyetértek";"4 - inkább egyetértek";"3 - részben egyetértek";"5 - teljes mértékben egyetértek";"5 - mindig jellemzõ";"3 - általában jellemzõ";"2 - néha jellemzõ";"2 - néha jellemzõ";"3 - általában jellemzõ";"3 - általában jellemzõ";"2 - néha jellemzõ";"2 - néha jellemzõ";"2 - néha jellemzõ";"3 - általában jellemzõ";"4 - gyakran jellemzõ";4;4;1;1;2;5;3;5;4;1;1;3;1;1;1;3;3;3;4;3;4;4;3;5;5;3;2;2;3;3;2;2;2;3;4;2;4;2;1;1;1;1;2;1;1
"Férfi";29;"Fõiskola/Egyetem";"Fõváros";"Egyedülálló";"3-4 órát";"Naponta többször";"Naponta egyszer";"Soha";"Hetente többször";"Soha";"Hetente egyszer";"Naponta többször";"Soha";"Soha";"Naponta többször";"Telefonálásra, Közösségi média használata (Facebook, Instagram stb.), Nyelvtanulás (Duolingo, Xeropan stb.)";"Duolingo";"1 - egyáltalán nem értek egyet";"3 - részben egyetértek";"1 - egyáltalán nem értek egyet";"1 - egyáltalán nem értek egyet";"3 - részben egyetértek";"2 - inkább nem értek egyet";"2 - inkább nem értek egyet";"1 - egyáltalán nem értek egyet";"1 - egyáltalán nem értek egyet";"2 - néha jellemzõ";"3 - általában jellemzõ";"2 - néha jellemzõ";"2 - néha jellemzõ";"3 - általában jellemzõ";"2 - néha jellemzõ";"2 - néha jellemzõ";"3 - általában jellemzõ";"1 - egyáltalán nem jellemzõ";"2 - néha jellemzõ";"2 - néha jellemzõ";5;5;1;1;3;5;4;1;3;1;2;5;1;1;5;1;3;1;1;3;2;2;1;1;2;3;2;2;3;2;2;3;1;2;2;1;3;2;2;1;1;1;1;1;2
"Férfi";25;"Gimnázium/Szakközép iskola";"Megyeszékhely";"Egyedülálló";"Kevesebb, mint 1 órát";"Naponta többször";"Naponta többször";"Soha";"Soha";"Soha";"Ritkábban";"Hetente egyszer";"Hetente egyszer";"Naponta egyszer";"Naponta többször";"Telefonálásra, Szöveges kapcsolattartásra (SMS, Messenger, Skype stb.), Közösségi média használata (Facebook, Instagram stb.), Nyelvtanulás (Duolingo, Xeropan stb.)";"Duolingo";"4 - inkább egyetértek";"2 - inkább nem értek egyet";"3 - részben egyetértek";"5 - teljes mértékben egyetértek";"1 - egyáltalán nem értek egyet";"1 - egyáltalán nem értek egyet";"1 - egyáltalán nem értek egyet";"4 - inkább egyetértek";"5 - teljes mértékben egyetértek";"2 - néha jellemzõ";"3 - általában jellemzõ";"1 - egyáltalán nem jellemzõ";"3 - általában jellemzõ";"3 - általában jellemzõ";"4 - gyakran jellemzõ";"2 - néha jellemzõ";"1 - egyáltalán nem jellemzõ";"2 - néha jellemzõ";"2 - néha jellemzõ";"1 - egyáltalán nem jellemzõ";4;4;1;1;1;5;5;1;1;1;2;2;2;4;5;4;2;3;5;1;1;1;4;5;2;3;1;3;3;4;2;1;2;2;1;2;4;2;2;2;1;1;1;1;2
"Férfi";23;"Gimnázium/Szakközép iskola";"Megyeszékhely";"Párkapcsolatban";"Több mint 4 órát";"Naponta többször";"Naponta többször";"Naponta többször";"Soha";"Ritkábban";"Naponta egyszer";"Naponta többször";"Ritkábban";"Naponta többször";"Naponta többször";"Telefonálásra, Szöveges kapcsolattartásra";"5percangol";"5 - teljes mértékben egyetértek";"5 - teljes mértékben egyetértek";"5 - teljes mértékben egyetértek";"5 - teljes mértékben egyetértek";"5 - teljes mértékben egyetértek";"3 - részben egyetértek";"5 - teljes mértékben egyetértek";"1 - egyáltalán nem értek egyet";"5 - teljes mértékben egyetértek";"5 - mindig jellemzõ";"2 - néha jellemzõ";"1 - egyáltalán nem jellemzõ";"1 - egyáltalán nem jellemzõ";"5 - mindig jellemzõ";"5 - mindig jellemzõ";"5 - mindig jellemzõ";"5 - mindig jellemzõ";"5 - mindig jellemzõ";"5 - mindig jellemzõ";"5 - mindig jellemzõ";4;4;2;1;5;5;5;5;1;2;4;5;2;5;5;5;5;5;5;5;3;5;1;5;5;2;1;1;5;5;5;5;5;5;5;5;9;2;2;2;1;2;2;2;2
"Férfi";24;"Szakiskola/Szakmunkásképzõ";"Falu";"Egyedülálló";"Kevesebb, mint 1 órát";"Hetente egyszer";"Hetente egyszer";"Ritkábban";"Soha";"Soha";"Soha";"Ritkábban";"Soha";"Soha";"Soha";"Telefonálásra, Információszerzésre (Böngészõ, Google, Shazam stb.), Fényképezésre, Navigáció (GPS, Google Maps stb.)";NA;"5 - teljes mértékben egyetértek";"5 - teljes mértékben egyetértek";"3 - részben egyetértek";"5 - teljes mértékben egyetértek";"3 - részben egyetértek";"2 - inkább nem értek egyet";"3 - részben egyetértek";"1 - egyáltalán nem értek egyet";"5 - teljes mértékben egyetértek";"1 - egyáltalán nem jellemzõ";"5 - mindig jellemzõ";"1 - egyáltalán nem jellemzõ";"1 - egyáltalán nem jellemzõ";"3 - általában jellemzõ";"3 - általában jellemzõ";"1 - egyáltalán nem jellemzõ";"1 - egyáltalán nem jellemzõ";"3 - általában jellemzõ";"5 - mindig jellemzõ";"1 - egyáltalán nem jellemzõ";3;2;1;1;1;2;2;2;1;1;1;2;1;1;1;5;5;3;5;3;2;3;1;5;1;5;1;1;3;3;1;1;3;5;1;3;4;1;1;1;2;2;1;2;1
"Férfi";27;"Gimnázium/Szakközép iskola";"Város";"Egyedülálló";"3-4 órát";"Naponta többször";"Naponta többször";"Ritkábban";"Ritkábban";"Hetente egyszer";"Soha";"Naponta többször";"Naponta egyszer";"Naponta többször";"Naponta többször";"Szöveges kapcsolattartásra (SMS, Messenger, Skype stb.), Közösségi média használata (Facebook, Instagram stb.), Navigáció (GPS, Google Maps stb.)";NA;"5 - teljes mértékben egyetértek";"1 - egyáltalán nem értek egyet";"3 - részben egyetértek";"5 - teljes mértékben egyetértek";"5 - teljes mértékben egyetértek";"2 - inkább nem értek egyet";"3 - részben egyetértek";"5 - teljes mértékben egyetértek";"5 - teljes mértékben egyetértek";"1 - egyáltalán nem jellemzõ";"5 - mindig jellemzõ";"2 - néha jellemzõ";"5 - mindig jellemzõ";"3 - általában jellemzõ";"2 - néha jellemzõ";"1 - egyáltalán nem jellemzõ";"1 - egyáltalán nem jellemzõ";"4 - gyakran jellemzõ";"2 - néha jellemzõ";"3 - általában jellemzõ";4;3;1;1;3;5;5;2;2;2;1;5;4;5;5;5;1;3;5;5;2;3;5;5;1;5;2;5;3;2;1;1;4;2;3;4;3;1;2;2;1;1;1;2;1
"Férfi";20;"Gimnázium/Szakközép iskola";"Megyeszékhely";"Egyedülálló";"1-2 órát";"Naponta többször";"Naponta többször";"Soha";"Soha";"Soha";"Naponta többször";"Naponta egyszer";"Soha";"Soha";"Ritkábban";"Telefonálásra, Szöveges kapcsolattartásra (SMS, Messenger, Skype stb.), Közösségi média használata (Facebook, Instagram stb.), Telefonos játékokra, Fényképezésre";NA;"4 - inkább egyetértek";"1 - egyáltalán nem értek egyet";"4 - inkább egyetértek";"5 - teljes mértékben egyetértek";"5 - teljes mértékben egyetértek";"1 - egyáltalán nem értek egyet";"1 - egyáltalán nem értek egyet";"1 - egyáltalán nem értek egyet";"3 - részben egyetértek";"1 - egyáltalán nem jellemzõ";"4 - gyakran jellemzõ";"1 - egyáltalán nem jellemzõ";"1 - egyáltalán nem jellemzõ";"1 - egyáltalán nem jellemzõ";"1 - egyáltalán nem jellemzõ";"1 - egyáltalán nem jellemzõ";"1 - egyáltalán nem jellemzõ";"1 - egyáltalán nem jellemzõ";"1 - egyáltalán nem jellemzõ";"1 - egyáltalán nem jellemzõ";4;4;1;1;2;5;5;1;1;1;5;4;1;1;2;4;1;4;5;5;1;1;1;3;1;4;1;1;1;1;1;1;1;1;1;1;5;2;2;2;1;2;2;1;1
"Férfi";19;"Gimnázium/Szakközép iskola";"Város";"Párkapcsolatban";"Több mint 4 órát";"Naponta többször";"Naponta többször";"Naponta többször";"Ritkábban";"Naponta egyszer";"Soha";"Naponta többször";"Soha";"Naponta többször";"Naponta egyszer";"Szöveges kapcsolattartásra (SMS, Messenger, Skype stb.), Közösségi média használata (Facebook, Instagram stb.), Információszerzésre (Böngészõ, Google, Shazam stb.), Navigáció (GPS, Google Maps stb.)";"5percangol";"5 - teljes mértékben egyetértek";"5 - teljes mértékben egyetértek";"4 - inkább egyetértek";"4 - inkább egyetértek";"2 - inkább nem értek egyet";"2 - inkább nem értek egyet";"4 - inkább egyetértek";"1 - egyáltalán nem értek egyet";"5 - teljes mértékben egyetértek";"2 - néha jellemzõ";"3 - általában jellemzõ";"1 - egyáltalán nem jellemzõ";"1 - egyáltalán nem jellemzõ";"4 - gyakran jellemzõ";"4 - gyakran jellemzõ";"4 - gyakran jellemzõ";"3 - általában jellemzõ";"3 - általában jellemzõ";"1 - egyáltalán nem jellemzõ";"3 - általában jellemzõ";4;3;2;1;5;5;5;5;2;4;1;5;1;5;4;5;5;4;4;2;2;4;1;5;2;3;1;1;4;4;4;3;3;1;3;3;4;1;2;2;2;1;1;1;1
"Férfi";28;"Fõiskola/Egyetem";"Megyeszékhely";"Párkapcsolatban";"2-3 órát";"Naponta többször";"Naponta többször";"Naponta egyszer";"Soha";"Soha";"Soha";"Naponta többször";"Ritkábban";"Naponta többször";"Naponta egyszer";"Telefonálásra, Szöveges kapcsolattartásra (SMS, Messenger, Skype stb.), Közösségi média használata (Facebook, Instagram stb.), Információszerzésre (Böngészõ, Google, Shazam stb.)";NA;"5 - teljes mértékben egyetértek";"5 - teljes mértékben egyetértek";"4 - inkább egyetértek";"4 - inkább egyetértek";"3 - részben egyetértek";"1 - egyáltalán nem értek egyet";"4 - inkább egyetértek";"4 - inkább egyetértek";"4 - inkább egyetértek";"2 - néha jellemzõ";"5 - mindig jellemzõ";"2 - néha jellemzõ";"1 - egyáltalán nem jellemzõ";"5 - mindig jellemzõ";"4 - gyakran jellemzõ";"4 - gyakran jellemzõ";"1 - egyáltalán nem jellemzõ";"4 - gyakran jellemzõ";"1 - egyáltalán nem jellemzõ";"1 - egyáltalán nem jellemzõ";5;4;2;1;3;5;5;4;1;1;1;5;2;5;4;5;5;4;4;3;1;4;4;4;2;5;2;1;5;4;4;1;4;1;1;4;4;2;2;2;1;1;1;1;1
"Férfi";30;"Fõiskola/Egyetem";"Megyeszékhely";"Egyedülálló";"Kevesebb, mint 1 órát";"Hetente többször";"Naponta többször";"Naponta többször";"Ritkábban";"Soha";"Soha";"Hetente többször";"Soha";"Hetente többször";"Hetente többször";"Telefonálásra, Szöveges kapcsolattartásra (SMS, Messenger, Skype stb.), Közösségi média használata (Facebook, Instagram stb.), Navigáció (GPS, Google Maps stb.)";NA;"5 - teljes mértékben egyetértek";"5 - teljes mértékben egyetértek";"2 - inkább nem értek egyet";"3 - részben egyetértek";"2 - inkább nem értek egyet";"1 - egyáltalán nem értek egyet";"4 - inkább egyetértek";"4 - inkább egyetértek";"3 - részben egyetértek";"1 - egyáltalán nem jellemzõ";"3 - általában jellemzõ";"2 - néha jellemzõ";"4 - gyakran jellemzõ";"5 - mindig jellemzõ";"5 - mindig jellemzõ";"2 - néha jellemzõ";"2 - néha jellemzõ";"2 - néha jellemzõ";"1 - egyáltalán nem jellemzõ";"2 - néha jellemzõ";5;4;1;1;1;3;5;5;2;1;1;3;1;3;3;5;5;2;3;2;1;4;4;3;1;3;2;4;5;5;2;2;2;1;2;2;4;2;2;2;1;1;1;2;1
"Férfi";20;"Gimnázium/Szakközép iskola";"Város";"Egyedülálló";"Több mint 4 órát";"Naponta többször";"Naponta többször";"Naponta többször";"Soha";"Naponta többször";"Soha";"Naponta többször";"Soha";"Naponta többször";"Naponta többször";"Szöveges kapcsolattartásra (SMS, Messenger, Skype stb.), Közösségi média használata (Facebook, Instagram stb.), Információszerzésre (Böngészõ, Google, Shazam stb.)";NA;"5 - teljes mértékben egyetértek";"1 - egyáltalán nem értek egyet";"2 - inkább nem értek egyet";"5 - teljes mértékben egyetértek";"4 - inkább egyetértek";"1 - egyáltalán nem értek egyet";"1 - egyáltalán nem értek egyet";"3 - részben egyetértek";"4 - inkább egyetértek";"3 - általában jellemzõ";"4 - gyakran jellemzõ";"2 - néha jellemzõ";"1 - egyáltalán nem jellemzõ";"5 - mindig jellemzõ";"5 - mindig jellemzõ";"4 - gyakran jellemzõ";"2 - néha jellemzõ";"5 - mindig jellemzõ";"1 - egyáltalán nem jellemzõ";"4 - gyakran jellemzõ";4;3;1;1;5;5;5;5;1;5;1;5;1;5;5;5;1;2;5;4;1;1;3;4;3;4;2;1;5;5;4;2;5;1;4;5;3;1;2;2;2;1;1;1;1
"Férfi";21;"Gimnázium/Szakközép iskola";"Falu";"Egyedülálló";"1-2 órát";"Naponta többször";"Naponta többször";"Naponta többször";"Ritkábban";"Naponta többször";"Hetente többször";"Naponta többször";"Ritkábban";"Ritkábban";"Naponta többször";"Telefonálásra, Szöveges kapcsolattartásra (SMS, Messenger, Skype stb.), Közösségi média használata (Facebook, Instagram stb.), Információszerzésre (Böngészõ, Google, Shazam stb.), Fényképezésre, Navigáció (GPS, Google Maps stb.)";NA;"4 - inkább egyetértek";"2 - inkább nem értek egyet";"4 - inkább egyetértek";"5 - teljes mértékben egyetértek";"2 - inkább nem értek egyet";"1 - egyáltalán nem értek egyet";"1 - egyáltalán nem értek egyet";"3 - részben egyetértek";"5 - teljes mértékben egyetértek";"3 - általában jellemzõ";"3 - általában jellemzõ";"1 - egyáltalán nem jellemzõ";"3 - általában jellemzõ";"4 - gyakran jellemzõ";"5 - mindig jellemzõ";"2 - néha jellemzõ";"3 - általában jellemzõ";"2 - néha jellemzõ";"1 - egyáltalán nem jellemzõ";"2 - néha jellemzõ";4;2;1;1;2;5;5;5;2;5;3;5;2;2;5;4;2;4;5;2;1;1;3;5;3;3;1;3;4;5;2;3;2;1;2;2;6;2;2;2;1;2;1;2;1
